Scenario,Island,Subsector,Fuel Code,Fuel,2015,2016,2018,2021,2025,2030,2035,2040,2045,2050,2055,2060
Kea,NI,CHEMICAL,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CHEMICAL,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CHEMICAL,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CHEMICAL,INDCOA,Coal,0,0,0,0,0.00741,0.005318571,0,0,0.005318571,0.005318571,0.005318571,0.005318571
Kea,NI,CHEMICAL,INDNGA,Natural Gas,8.32637931,8.331533525,8.341841954,5.759300187,4.082442514,0.90834125,0.912995,0.912995,0.90834125,0.88197,0.88197,0.88197
Kea,NI,CHEMICAL,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CHEMICAL,INDWOD,Wood,0,0,0,0,0.05928,2.113607395,2.113607395,2.113607395,2.113607395,2.113607395,1.492289748,1.492289748
Kea,NI,CHEMICAL,INDFOL,Fuel Oil,0.372794118,0.3505,0.354441176,0.005078725,0,0,0,0,0,0,0,0
Kea,NI,CHEMICAL,INDELC,Electricity,1.835639556,1.824532832,1.822325384,1.226404072,0.77,0.553,0.553,0.553,0.553,0.57937125,0.730262679,0.730262679
Kea,NI,CHEMICAL,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CHEMICAL,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CHEMICAL,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CONSTRUCTION,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CONSTRUCTION,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CONSTRUCTION,INDDSL,Diesel,7.161616162,7.112508418,7.10520202,6.240922021,6.440880116,6.646713449,7.1845,7.964316982,8.867722222,9.69,10.58827778,11.57047222
Kea,NI,CONSTRUCTION,INDCOA,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CONSTRUCTION,INDNGA,Natural Gas,0.461538462,0.46974359,0.486153846,0.966538462,0.981115385,0.996115385,1.035307692,0.800176486,0.646230769,0.706153846,0.771615385,0.843192308
Kea,NI,CONSTRUCTION,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CONSTRUCTION,INDWOD,Wood,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,CONSTRUCTION,INDFOL,Fuel Oil,0,0,0,0,0,0,0,0,0,0,0,0
