"data_group","Period","Attribute","Sector","Technology","Fuel","Value","scen"
"Prices",2018,"$/GJ","NI",NA,"Biodiesel",18.2072443488214,"Kea"
"Prices",2018,"$/GJ","SI",NA,"Biodiesel",20.0486274506804,"Kea"
"Prices",2021,"$/GJ","NI",NA,"Biodiesel",18.0138145150443,"Kea"
"Prices",2021,"$/GJ","SI",NA,"Biodiesel",22.642962619553,"Kea"
"Prices",2025,"$/GJ","NI",NA,"Biodiesel",15.8179195590268,"Kea"
"Prices",2025,"$/GJ","SI",NA,"Biodiesel",18.556014797122,"Kea"
"Prices",2030,"$/GJ","NI",NA,"Biodiesel",12.9239866993705,"Kea"
"Prices",2030,"$/GJ","SI",NA,"Biodiesel",15.6620819374657,"Kea"
"Prices",2035,"$/GJ","NI",NA,"Biodiesel",11.9762364769864,"Kea"
"Prices",2035,"$/GJ","SI",NA,"Biodiesel",25.1683782260233,"Kea"
"Prices",2040,"$/GJ","NI",NA,"Biodiesel",10.2585348199472,"Kea"
"Prices",2040,"$/GJ","SI",NA,"Biodiesel",-0.865926186314311,"Kea"
"Prices",2045,"$/GJ","NI",NA,"Biodiesel",9.16792444406257,"Kea"
"Prices",2045,"$/GJ","SI",NA,"Biodiesel",11.9060196821578,"Kea"
"Prices",2050,"$/GJ","NI",NA,"Biodiesel",10.8606696821578,"Kea"
"Prices",2050,"$/GJ","SI",NA,"Biodiesel",10.8606696821578,"Kea"
"Prices",2055,"$/GJ","NI",NA,"Biodiesel",9.77685267442905,"Kea"
"Prices",2055,"$/GJ","SI",NA,"Biodiesel",12.9795425419696,"Kea"
"Prices",2060,"$/GJ","NI",NA,"Biodiesel",8.58218108122873,"Kea"
"Prices",2060,"$/GJ","SI",NA,"Biodiesel",25.8551655759589,"Kea"
"Prices",2018,"$/GJ","NI",NA,"Biogas",12.5228686769537,"Kea"
"Prices",2018,"$/GJ","SI",NA,"Biogas",10.4591661549582,"Kea"
"Prices",2021,"$/GJ","NI",NA,"Biogas",14.0130477300842,"Kea"
"Prices",2021,"$/GJ","SI",NA,"Biogas",15.0150777893928,"Kea"
"Prices",2025,"$/GJ","NI",NA,"Biogas",14.3151188559234,"Kea"
"Prices",2025,"$/GJ","SI",NA,"Biogas",13.8792110684373,"Kea"
"Prices",2030,"$/GJ","NI",NA,"Biogas",14.0968066506661,"Kea"
"Prices",2030,"$/GJ","SI",NA,"Biogas",12.9753943725409,"Kea"
"Prices",2035,"$/GJ","NI",NA,"Biogas",15.3820038851943,"Kea"
"Prices",2035,"$/GJ","SI",NA,"Biogas",13.7320038851943,"Kea"
"Prices",2040,"$/GJ","NI",NA,"Biogas",15.3820038851944,"Kea"
"Prices",2040,"$/GJ","SI",NA,"Biogas",13.7320038851943,"Kea"
"Prices",2045,"$/GJ","NI",NA,"Biogas",15.3820038851943,"Kea"
"Prices",2045,"$/GJ","SI",NA,"Biogas",13.7320038851943,"Kea"
"Prices",2050,"$/GJ","NI",NA,"Biogas",15.3820038851943,"Kea"
"Prices",2050,"$/GJ","SI",NA,"Biogas",13.7320038851943,"Kea"
"Prices",2055,"$/GJ","NI",NA,"Biogas",15.3820038851943,"Kea"
"Prices",2055,"$/GJ","SI",NA,"Biogas",15.3820038851944,"Kea"
"Prices",2060,"$/GJ","NI",NA,"Biogas",15.3820038851943,"Kea"
"Prices",2060,"$/GJ","SI",NA,"Biogas",15.3820038851943,"Kea"
"Prices",2018,"$/GJ","NI",NA,"Coal - Lignite",2.17059620596206,"Kea"
"Prices",2018,"$/GJ","SI",NA,"Coal - Lignite",2.17125108480947,"Kea"
"Prices",2021,"$/GJ","NI",NA,"Coal - Lignite",1.98222310335712,"Kea"
"Prices",2021,"$/GJ","SI",NA,"Coal - Lignite",1.98287798220453,"Kea"
"Prices",2025,"$/GJ","NI",NA,"Coal - Lignite",2.11557996955853,"Kea"
"Prices",2025,"$/GJ","SI",NA,"Coal - Lignite",2.11623484840594,"Kea"
"Prices",2030,"$/GJ","NI",NA,"Coal - Lignite",2.25670756320074,"Kea"
"Prices",2030,"$/GJ","SI",NA,"Coal - Lignite",2.25736244204815,"Kea"
"Prices",2035,"$/GJ","NI",NA,"Coal - Lignite",2.33203360249564,"Kea"
"Prices",2035,"$/GJ","SI",NA,"Coal - Lignite",2.33268848134305,"Kea"
"Prices",2040,"$/GJ","NI",NA,"Coal - Lignite",2.39502044826703,"Kea"
"Prices",2040,"$/GJ","SI",NA,"Coal - Lignite",2.39567532711445,"Kea"
"Prices",2045,"$/GJ","NI",NA,"Coal - Lignite",2.43268346791449,"Kea"
"Prices",2045,"$/GJ","SI",NA,"Coal - Lignite",2.4333383467619,"Kea"
"Prices",2050,"$/GJ","NI",NA,"Coal - Lignite",2.46233698035255,"Kea"
"Prices",2050,"$/GJ","SI",NA,"Coal - Lignite",2.46299185919996,"Kea"
"Prices",2055,"$/GJ","NI",NA,"Coal - Lignite",2.46666666666667,"Kea"
"Prices",2055,"$/GJ","SI",NA,"Coal - Lignite",2.46732154551408,"Kea"
"Prices",2060,"$/GJ","NI",NA,"Coal - Lignite",2.46666666666667,"Kea"
"Prices",2060,"$/GJ","SI",NA,"Coal - Lignite",2.46732154551408,"Kea"
"Prices",2018,"$/GJ","NI",NA,"Coal - subbit",3.25589430894309,"Kea"
"Prices",2018,"$/GJ","SI",NA,"Coal - subbit",3.25551822770954,"Kea"
"Prices",2021,"$/GJ","NI",NA,"Coal - subbit",3.38089957491697,"Kea"
"Prices",2021,"$/GJ","SI",NA,"Coal - subbit",3.38127565615052,"Kea"
"Prices",2025,"$/GJ","NI",NA,"Coal - subbit",2.91912427675723,"Kea"
"Prices",2025,"$/GJ","SI",NA,"Coal - subbit",2.91950035799077,"Kea"
"Prices",2030,"$/GJ","NI",NA,"Coal - subbit",3.11388035598347,"Kea"
"Prices",2030,"$/GJ","SI",NA,"Coal - subbit",3.11425643721701,"Kea"
"Prices",2035,"$/GJ","NI",NA,"Coal - subbit",3.21783029021044,"Kea"
"Prices",2035,"$/GJ","SI",NA,"Coal - subbit",3.21820637144399,"Kea"
"Prices",2040,"$/GJ","NI",NA,"Coal - subbit",3.30475213737496,"Kea"
"Prices",2040,"$/GJ","SI",NA,"Coal - subbit",3.30512821860851,"Kea"
"Prices",2045,"$/GJ","NI",NA,"Coal - subbit",2.91922016149738,"Kea"
"Prices",2045,"$/GJ","SI",NA,"Coal - subbit",2.91959624273093,"Kea"
"Prices",2050,"$/GJ","NI",NA,"Coal - subbit",2.95480437642306,"Kea"
"Prices",2050,"$/GJ","SI",NA,"Coal - subbit",2.9551804576566,"Kea"
"Prices",2055,"$/GJ","NI",NA,"Coal - subbit",2.96,"Kea"
"Prices",2055,"$/GJ","SI",NA,"Coal - subbit",2.96037608123355,"Kea"
"Prices",2060,"$/GJ","NI",NA,"Coal - subbit",2.96,"Kea"
"Prices",2060,"$/GJ","SI",NA,"Coal - subbit",2.96037608123355,"Kea"
"Prices",2018,"$/GJ","NI",NA,"Diesel",23.1238950851305,"Kea"
"Prices",2018,"$/GJ","SI",NA,"Diesel",23.1289519204477,"Kea"
"Prices",2021,"$/GJ","NI",NA,"Diesel",22.6379057842357,"Kea"
"Prices",2021,"$/GJ","SI",NA,"Diesel",22.642962619553,"Kea"
"Prices",2025,"$/GJ","NI",NA,"Diesel",27.1575996825134,"Kea"
"Prices",2025,"$/GJ","SI",NA,"Diesel",27.1626565178306,"Kea"
"Prices",2030,"$/GJ","NI",NA,"Diesel",31.1505785463126,"Kea"
"Prices",2030,"$/GJ","SI",NA,"Diesel",31.1556353816299,"Kea"
"Prices",2035,"$/GJ","NI",NA,"Diesel",28.6035184080789,"Kea"
"Prices",2035,"$/GJ","SI",NA,"Diesel",28.6085752433962,"Kea"
"Prices",2040,"$/GJ","NI",NA,"Diesel",29.6034391883701,"Kea"
"Prices",2040,"$/GJ","SI",NA,"Diesel",29.6084960236874,"Kea"
"Prices",2045,"$/GJ","NI",NA,"Diesel",30.2977899432402,"Kea"
"Prices",2045,"$/GJ","SI",NA,"Diesel",30.3028467785574,"Kea"
"Prices",2050,"$/GJ","NI",NA,"Diesel",31.7942144001769,"Kea"
"Prices",2050,"$/GJ","SI",NA,"Diesel",31.7992712354941,"Kea"
"Prices",2055,"$/GJ","NI",NA,"Diesel",32.0811985628792,"Kea"
"Prices",2055,"$/GJ","SI",NA,"Diesel",32.0862553981965,"Kea"
"Prices",2060,"$/GJ","NI",NA,"Diesel",32.1525473409427,"Kea"
"Prices",2060,"$/GJ","SI",NA,"Diesel",32.1576041762599,"Kea"
