Technology,Technology_Group
Farm Bike                             ,Mobile Motive Power
Heat Recovery System (Cooling)        ,Heating/Cooling
Heat Recovery System (Heating)       ,Heating/Cooling
Hot Water Cylinder                    ,Heating/Cooling
Irrigator                             ,Stationary Motive Power
Irrigator with VSD                   ,Stationary Motive Power
Lights (General)                      ,Electronics and Lighting
Refrigerator                          ,Heating/Cooling
Tractor (Agricultural)               ,Mobile Motive Power
Transfer Pump                         ,Stationary Motive Power
Truck (Agricultural)                  ,Mobile Motive Power
Utility Vehicle (Agricultural)       ,Mobile Motive Power
Vacuum Pump                           ,Stationary Motive Power
Vacuum Pump with VSD                  ,Stationary Motive Power
Fishing Boat (Hybrid)                ,Mobile Motive Power
Fishing Boat (Non-Hybrid)             ,Mobile Motive Power
Cable Yarder (Forestry)               ,Mobile Motive Power
Skidder (Forestry)                   ,Mobile Motive Power
Stationary Motor                      ,Stationary Motive Power
Boiler                                ,Heating/Cooling
Direct Heat                          ,Heating/Cooling
Heat Pump                             ,Heating/Cooling
Other                                 ,Other
Biodiesel Production                 ,Fuel Production
Drop In Bio-Jet Production            ,Fuel Production
Drop In Biofuel Production            ,Fuel Production
Drop In Diesel Production            ,Fuel Production
Burner                                ,Heating/Cooling
Electronics and Other Appliances      ,Electronics and Lighting
Instantaneous Water Heater           ,Heating/Cooling
Lights (Fluorescent)                  ,Electronics and Lighting
Lights (LED)                          ,Electronics and Lighting
Mobile Motor                         ,Mobile Motive Power
Resistance Heater                     ,Heating/Cooling
Cooking Element                       ,Heating/Cooling
Lights (Incandescent)                ,Electronics and Lighting
Oven                                  ,Heating/Cooling
PEM Electrolyser                      ,Fuel Production
Furnace                              ,Heating/Cooling
Internal Combustion Engine            ,Mobile Motive Power
Stationary Motor with VSD             ,Stationary Motive Power
Compressor                           ,Electronics and Lighting
Fan                                   ,Electronics and Lighting
Heat Exchanger                        ,Heating/Cooling
Pump                                 ,Stationary Motive Power
Feedstock                             ,Feedstock
Electrotech                           ,Electronics and Lighting
Heater                               ,Heating/Cooling
Reformer                              ,Heating/Cooling
Wood/Pulp and Paper Refiner           ,Stationary Motive Power
Large Pumped Storage                 ,Storage
Lithium Ion Battery                   ,Storage
Geothermal (Consented)                ,Fuel Production
Geothermal (Existing)                ,Fuel Production
Hydro Dam (Existing)                  ,Fuel Production
Hydro Dam (New)                       ,Fuel Production
Hydro Run of River (Existing)        ,Fuel Production
Hydro Run of River (New <30MW)        ,Fuel Production
Hydro Run of River (New >30MW)        ,Fuel Production
Solar (Commercial Rooftop)           ,Fuel Production
Solar (Existing)                      ,Fuel Production
Solar (Grid-scale Tracking Mount)     ,Fuel Production
Combined Cycle Gas Turbine (Existing),Fuel Production
Combined Cycle Gas Turbine (New)      ,Fuel Production
Combined Heat/Power                   ,Fuel Production
Open Cycle Gas Turbine (Existing)    ,Fuel Production
Steam Boiler                          ,Fuel Production
Wind (Consented)                      ,Fuel Production
Wind (Distributed)                   ,Fuel Production
Wind (Existing)                       ,Fuel Production
Wind (High Capacity Factor)           ,Fuel Production
Wind (Low Capacity Factor)           ,Fuel Production
Burner (with Wetback)                 ,Heating/Cooling
Clothes Dryer                         ,Heating/Cooling
Clothes Washer                       ,Heating/Cooling
Dishwasher                            ,Heating/Cooling
Gas Heater                            ,Heating/Cooling
Heat Pump (Multi-Split)              ,Heating/Cooling
Open Fire                             ,Heating/Cooling
Open Fire (with Wetback)              ,Heating/Cooling
Plane                                ,Mobile Motive Power
Train                                 ,Mobile Motive Power
Battery Electric Vehicle              ,Mobile Motive Power
Hybrid Vehicle                       ,Mobile Motive Power
Plug-In Hybrid Vehicle                ,Mobile Motive Power
Ship                                  ,Mobile Motive Power
Geothermal (Other)                   ,Fuel Production
Solar (Grid-scale Fixed Mount)        ,Fuel Production
Open Cycle Gas Turbine (New)  ,Fuel Production
