Scenario,Region,Sector,Process,Name,Description,Member
BASE,SI,ELC,FTE_ELCBIL,FTE_ELCBIL_NRGI,-,BIL
BASE,SI,IND,FTE-INDBIG_00,FTE-INDBIG_00_NRGI,-,BIG
BASE,NI,IND,ALU-PH-FURN-ELC-Furn15,ALU-PH-FURN-ELC-Furn15_NRGI,-,INDELC
BASE,SI,PRI,SUP_ELC-PEMC-H2,SUP_ELC-PEMC-H2_NRGI,-,ELC-HV
BASE,NI,IND,CHMCL-MoTP-Stat-ELC-Mtr15,CHMCL-MoTP-Stat-ELC-Mtr15_DEMO,-,CHMCL-MoTP-Stat
NewTech_RC,SI,-,C_WSR-MPS_-ELC,C_WSR-MPS_-ELC_DEMO,-,C_WSR-MPS
NewTech_RC,NI,-,C_OTH-MPM_-FOL,C_OTH-MPM_-FOL_NRGI,-,COMFOL
NewTech_ELC_KEA,SI,-,EBIG20,EBIG20_NRGO,-,ELC
NewTech_AGR_KEA,NI,-,AINDC-SH-Boiler-WOD,AINDC-SH-Boiler-WOD_NRGI,-,AGRWOD
BASE,NI,IND,CHMCL-MoTP-Stat-ELC-Mtr15,CHMCL-MoTP-Stat-ELC-Mtr15_NRGI,-,INDELC
BASE,NI,IND,CHMCL-MoTP-Stat-NGA-Pump15,CHMCL-MoTP-Stat-NGA-Pump15_DEMO,-,CHMCL-MoTP-Stat
BASE,NI,IND,CHMCL-MoTP-Stat-NGA-Pump15,CHMCL-MoTP-Stat-NGA-Pump15_NRGI,-,INDNGA
NewTech_RC,SI,-,C_OTH-WH_Boiler-DSL,C_OTH-WH_Boiler-DSL_DEMO,-,C_OTH-WH
BASE,NI,IND,CHMCL-PH-DirH-ELC-Heater15,CHMCL-PH-DirH-ELC-Heater15_DEMO,-,CHMCL-PH-DirH
NewTech_ELC_KEA,NI,-,EOIL20,EOIL20_NRGI,-,ELCOIL
BASE,NI,IND,CHMCL-PH-DirH-ELC-Heater15,CHMCL-PH-DirH-ELC-Heater15_NRGI,-,INDELC
NewTech_RC,SI,-,C_WSR-WH_Boiler-BIG,C_WSR-WH_Boiler-BIG_NRGI,-,COMBIG
BASE,NI,IND,CHMCL-PH-DirH-NGA-Burner15,CHMCL-PH-DirH-NGA-Burner15_DEMO,-,CHMCL-PH-DirH
BASE,NI,IND,CHMCL-PH-DirH-NGA-Burner15,CHMCL-PH-DirH-NGA-Burner15_NRGI,-,INDNGA
BASE,NI,IND,CHMCL-PH-FURN-FOL-Furn15,CHMCL-PH-FURN-FOL-Furn15_DEMO,-,CHMCL-PH-FURN
BASE,NI,IND,CHMCL-PH-FURN-FOL-Furn15,CHMCL-PH-FURN-FOL-Furn15_NRGI,-,INDFOL
BASE,NI,IND,CHMCL-PH-FURN-NGA-Furn15,CHMCL-PH-FURN-NGA-Furn15_DEMO,-,CHMCL-PH-FURN
BASE,NI,IND,CHMCL-PH-FURN-NGA-Furn15,CHMCL-PH-FURN-NGA-Furn15_NRGI,-,INDNGA
BASE,NI,IND,CHMCL-PH-REFRM-NGA-REFRM15,CHMCL-PH-REFRM-NGA-REFRM15_DEMO,-,CHMCL-PH-REFRM
BASE,NI,IND,CHMCL-PH-REFRM-NGA-REFRM15,CHMCL-PH-REFRM-NGA-REFRM15_NRGI,-,INDNGA
BASE,NI,IND,CHMCL-PH-STM_HW-FOL-BLR15,CHMCL-PH-STM_HW-FOL-BLR15_DEMO,-,CHMCL-PH-STM_HW
BASE,NI,IND,CHMCL-PH-STM_HW-FOL-BLR15,CHMCL-PH-STM_HW-FOL-BLR15_NRGI,-,INDFOL
BASE,NI,IND,CHMCL-PH-STM_HW-NGA-BLR15,CHMCL-PH-STM_HW-NGA-BLR15_DEMO,-,CHMCL-PH-STM_HW
BASE,NI,IND,CHMCL-PH-STM_HW-NGA-BLR15,CHMCL-PH-STM_HW-NGA-BLR15_NRGI,-,INDNGA
BASE,NI,IND,CNST-MoTP-Mob-DSL-ICE_Off15,CNST-MoTP-Mob-DSL-ICE_Off15_DEMO,-,CNST-MoTP-Mob
BASE,NI,IND,CNST-MoTP-Mob-DSL-ICE_Off15,CNST-MoTP-Mob-DSL-ICE_Off15_NRGI,-,INDDSL
BASE,NI,IND,CNST-MoTP-Mob-NGA-ICE_Off15,CNST-MoTP-Mob-NGA-ICE_Off15_DEMO,-,CNST-MoTP-Mob
BASE,NI,IND,CNST-MoTP-Mob-NGA-ICE_Off15,CNST-MoTP-Mob-NGA-ICE_Off15_NRGI,-,INDNGA
BASE,NI,IND,CNST-MoTP-Stat-DSL-St_ngn15,CNST-MoTP-Stat-DSL-St_ngn15_DEMO,-,CNST-MoTP-Stat
BASE,NI,IND,CNST-MoTP-Stat-DSL-St_ngn15,CNST-MoTP-Stat-DSL-St_ngn15_NRGI,-,INDDSL
BASE,NI,IND,CNST-MoTP-Stat-ELC-Mtr15,CNST-MoTP-Stat-ELC-Mtr15_DEMO,-,CNST-MoTP-Stat
BASE,NI,IND,CNST-MoTP-Stat-ELC-Mtr15,CNST-MoTP-Stat-ELC-Mtr15_NRGI,-,INDELC
BASE,NI,IND,DARY-AIR-ELC-CMPR15,DARY-AIR-ELC-CMPR15_DEMO,-,DARY-AIR
BASE,NI,IND,DARY-AIR-ELC-CMPR15,DARY-AIR-ELC-CMPR15_NRGI,-,INDELC
BASE,NI,IND,DARY-MoTP-Stat-ELC-Mtr15,DARY-MoTP-Stat-ELC-Mtr15_DEMO,-,DARY-MoTP-Stat
BASE,NI,IND,DARY-MoTP-Stat-ELC-Mtr15,DARY-MoTP-Stat-ELC-Mtr15_NRGI,-,INDELC
BASE,NI,IND,DARY-PH-MVR_DRY-COA-BLR15,DARY-PH-MVR_DRY-COA-BLR15_DEMO,-,DARY-PH-MVR_DRY
