Scenario,Region,Sector,Set,Name,Description,Unit,Type,Sub type,Lim type,Time slice level,Peak time slice
BASE,NI,ELC,.NRG.,AGRELC,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.ENV.,BATNRG,Electricity -:- Electricity Production,PJ,ENV,,N,DAYNITE,
BASE,NI,ELC,.NRG.,COMELC,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,ELC,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,ELC-HV,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,ELC-MV,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,ELCBIG,Biogas -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCBIL,Liquid Biofuels -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.ENV.,ELCCO2,-:- Electricity Production,kt,ENV,,,ANNUAL,
BASE,NI,ELC,.NRG.,ELCCOA,Coal -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCCOL,Coal -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCD,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,ELCDD,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,ELCGEO,Geothermal -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCHYD,Hydro -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCNGA,Natural Gas -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCOIL,Oil -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCSOL,Solar -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCTID,Tidal -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCURN,Uranium -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCWIN,Wind -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCWOD,Wood -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,INDELC,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,RESELC,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,IND,.DEM.,ALU-PH-FURN,-:- Process Heat Furnace,PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,CHMCL-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,CHMCL-PH-DirH,-:- Process Heat Direct,PJ,DEM,,,DAYNITE,
