Scenario,Region,Sector,Set,Name,Description,Activity unit,Capacity unit,Type,Sub type,Primary commodity group,Time slice level,Vintage
BASE,NI,TRADES,IRE,TU_JET_NI_SI_01,IRE(U) - JET from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_LPG_NI_SI_01,IRE(U) - LPG from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_OTH_NI_SI_01,IRE(U) - OTH from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_PET_NI_SI_01,IRE(U) - PET from ni to si,PJ,-,IRE,-,NRG,,
BASE,SI,TRADES,IRE,TU_COA_SI_NI_01,IRE(U) - COA from si to ni,PJ,-,IRE,-,NRG,ANNUAL,
BASE,SI,TRADES,IRE,TU_COL_SI_NI_01,IRE(U) - COL from si to ni,PJ,-,IRE,-,NRG,ANNUAL,
BASE,NI,TRADES,IRE,TU_COA_SI_NI_01,IRE(U) - COA from si to ni,PJ,-,IRE,-,NRG,ANNUAL,
BASE,NI,TRADES,IRE,TU_COL_SI_NI_01,IRE(U) - COL from si to ni,PJ,-,IRE,-,NRG,ANNUAL,
BASE,SI,TRADES,IRE,TB_ELC_NI_SI_01,IRE(B) - ELC from ni to si,PJ,-,IRE,-,NRG,DAYNITE,
BASE,SI,TRADES,IRE,TU_COA_NI_SI_01,IRE(U) - COA from ni to si,PJ,-,IRE,-,NRG,ANNUAL,
BASE,SI,TRADES,IRE,TU_COL_NI_SI_01,IRE(U) - COL from ni to si,PJ,-,IRE,-,NRG,ANNUAL,
BASE,SI,TRADES,IRE,TU_DID_NI_SI_01,IRE(U) - DID from ni to si,PJ,-,IRE,-,NRG,,
BASE,SI,TRADES,IRE,TU_DIJ_NI_SI_01,IRE(U) - DIJ from ni to si,PJ,-,IRE,-,NRG,,
BASE,SI,TRADES,IRE,TU_DSL_NI_SI_01,IRE(U) - DSL from ni to si,PJ,-,IRE,-,NRG,,
BASE,SI,TRADES,IRE,TU_FOL_NI_SI_01,IRE(U) - FOL from ni to si,PJ,-,IRE,-,NRG,,
BASE,SI,TRADES,IRE,TU_JET_NI_SI_01,IRE(U) - JET from ni to si,PJ,-,IRE,-,NRG,,
BASE,SI,TRADES,IRE,TU_LPG_NI_SI_01,IRE(U) - LPG from ni to si,PJ,-,IRE,-,NRG,,
BASE,SI,TRADES,IRE,TU_OTH_NI_SI_01,IRE(U) - OTH from ni to si,PJ,-,IRE,-,NRG,,
BASE,SI,TRADES,IRE,TU_PET_NI_SI_01,IRE(U) - PET from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,PRI,.IMP.IRE.,IMPLPG1,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,LPG,ANNUAL,0.0
BASE,NI,ELC,.PRE.,G_ELC2ELCD,-:-  -:-  -:-,PJ,GW,PRE,-,ELCD,DAYNITE,0.0
BASE,NI,OTH,.PRE.,FTE_AGRPET,Agriculture -:-  -:-  -:- Petrol,PJ,PJA,PRE,-,AGRPET,ANNUAL,0.0
BASE,NI,TRADES,IRE,TU_FOL_NI_SI_01,IRE(U) - FOL from ni to si,PJ,-,IRE,-,NRG,,
BASE,SI,ELC,.PRE.,G_ELC2ELCD,-:-  -:-  -:-,PJ,GW,PRE,-,ELCD,DAYNITE,0.0
BASE,NI,ELC,.DMD.,P_OWNUSE_ELC,-:-  -:-  -:-,PJ,PJ,DMD,-,,ANNUAL,0.0
BASE,SI,ELC,.PRE.,G_ELC_A_00,-:-  -:-  -:-,PJ,GW,PRE,-,AGRELC,DAYNITE,0.0
BASE,SI,ELC,.PRE.,G_ELC_HV-00,-:-  -:-  -:-,PJ,GW,PRE,-,ELC-HV,DAYNITE,0.0
BASE,SI,ELC,.PRE.,G_ELC_I_00,-:-  -:-  -:-,PJ,GW,PRE,-,INDELC,DAYNITE,0.0
BASE,SI,ELC,.PRE.,G_ELC_LV-00,-:-  -:-  -:-,PJ,GW,PRE,-,ELCDD,DAYNITE,0.0
BASE,SI,ELC,.PRE.,G_ELC_MV-00,-:-  -:-  -:-,PJ,GW,PRE,-,ELC-MV,DAYNITE,0.0
BASE,SI,ELC,.PRE.,G_ELC_R_00,-:-  -:-  -:-,PJ,GW,PRE,-,RESELC,DAYNITE,0.0
BASE,SI,ELC,.PRE.,G_ELC_S_00,-:-  -:-  -:-,PJ,GW,PRE,-,COMELC,DAYNITE,0.0
BASE,NI,TRADES,IRE,TB_ELC_NI_SI_01,IRE(B) - ELC from ni to si,PJ,-,IRE,-,NRG,DAYNITE,
BASE,NI,TRADES,IRE,TU_COA_NI_SI_01,IRE(U) - COA from ni to si,PJ,-,IRE,-,NRG,ANNUAL,
BASE,NI,TRADES,IRE,TU_COL_NI_SI_01,IRE(U) - COL from ni to si,PJ,-,IRE,-,NRG,ANNUAL,
BASE,NI,TRADES,IRE,TU_DID_NI_SI_01,IRE(U) - DID from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_DIJ_NI_SI_01,IRE(U) - DIJ from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_DSL_NI_SI_01,IRE(U) - DSL from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,PRI,.IMP.IRE.,IMPPET1,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,PET,ANNUAL,0.0
BASE,NI,PRI,.IMP.IRE.,IMPDIJ,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,DIJ,ANNUAL,0.0
BASE,NI,ELC,.ELE.,ELCTENGACHP00,Electricity -:- Thermal -:- Combined Heat/Power -:- Natural Gas,PJ,GW,ELE,-,ELCTENGACHP00_NRGO,DAYNITE,0.0
BASE,NI,PRI,.MIN.IRE.,MINDSL1,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,NI,PRI,.MIN.IRE.,MINFOL1,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,NI,PRI,.MIN.IRE.,MINJET1,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,NI,PRI,.MIN.IRE.,MINOTH1,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,NI,PRI,.MIN.IRE.,MINPET1,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,NI,PRI,.PRE.,CT_CWODDID,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Production of drop-in fuels from woodwaste,PJ,GWTH,PRE,-,CT_CWODDID_NRGO,ANNUAL,0.0
BASE,NI,PRI,.PRE.,D-H2toNGA_blnd,Primary Fuel Supply -:- Hydrogen -:- Blending Hydrogen with Natural gas (only NI) -:-,PJ,GW,PRE,-,D-H2toNGA_blnd_NRGO,DAYNITE,0.0
BASE,NI,PRI,.PRE.,REFEOIL00,Primary Fuel Supply -:- Refinery -:- Oil production -:-,PJ,PJA,PRE,-,REFEOIL00_NRGI,ANNUAL,0.0
BASE,NI,PRI,.IMP.IRE.,IMPDSL1,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,DSL,ANNUAL,0.0
BASE,SI,PRI,.EXP.IRE.,Non_NRG_OTH,Primary Fuel Supply -:- Natural Gas -:- Non Energy Use of Natural Gas -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.IMP.IRE.,IMPDID,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.IMP.IRE.,IMPDIJ,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.IMP.IRE.,IMPLNG1,Primary Fuel Supply -:- Natural Gas -:- Import - LNG -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.MIN.IRE.,MINNGA2,Primary Fuel Supply -:- Natural Gas -:- Mining - Natural Gas Tranche 2 -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.MIN.IRE.,MINNGA3,Primary Fuel Supply -:- Natural Gas -:- Mining - Natural Gas Tranche 3 -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.MIN.IRE.,MINNGA4,Primary Fuel Supply -:- Natural Gas -:- Mining - Natural Gas Tranche 4 -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.PRE.,CT_CWODDID,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Production of drop-in fuels from woodwaste,PJ,GWTH,PRE,-,CT_CWODDID_NRGO,ANNUAL,0.0
BASE,SI,PRI,.PRE.,LNGport2021,Primary Fuel Supply -:- Natural Gas -:- LNG Port -:-,PJ,PJA,PRE,-,,ANNUAL,0.0
BASE,SI,PRI,.PRE.,REFEOIL00,Primary Fuel Supply -:- Refinery -:- Oil production -:-,PJ,PJA,PRE,-,REFEOIL00_NRGI,ANNUAL,0.0
BASE,NI,PRI,.IMP.IRE.,IMPFOL1,Primary Fuel Supply -:- Petroleum -:-  -:-,PJ,PJA,IRE,-,FOL,ANNUAL,0.0
NewTech_ELC_KEA,NI,ELC,.MIN.IRE.,CCS_Store1,-:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store1_NRGO,ANNUAL,0.0
NewTech_ELC_TUI,NI,ELC,.MIN.IRE.,CCS_Store1,-:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store1_NRGO,ANNUAL,0.0
NewTech_ELC_KEA,NI,ELC,.MIN.IRE.,CCS_Store2,-:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store2_NRGO,ANNUAL,0.0
NewTech_ELC_TUI,NI,ELC,.MIN.IRE.,CCS_Store2,-:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store2_NRGO,ANNUAL,0.0
NewTech_ELC_KEA,SI,ELC,.MIN.IRE.,CCS_Store1,-:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store1_NRGO,ANNUAL,0.0
NewTech_ELC_TUI,SI,ELC,.MIN.IRE.,CCS_Store1,-:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store1_NRGO,ANNUAL,0.0
NewTech_ELC_KEA,SI,ELC,.MIN.IRE.,CCS_Store2,-:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store2_NRGO,ANNUAL,0.0
NewTech_ELC_TUI,SI,ELC,.MIN.IRE.,CCS_Store2,-:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store2_NRGO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-IRG-Irg-ELC,Agriculture -:- Dairy Cattle Farming -:- Irrigator -:- Electricity,PJ,GW,DMD,-,ADCF-IRG-Irg-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-IRG-Irg-ELC,Agriculture -:- Dairy Cattle Farming -:- Irrigator -:- Electricity,PJ,GW,DMD,-,ADCF-IRG-Irg-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-IRG-IrgVSD-ELC,Agriculture -:- Dairy Cattle Farming -:- Irrigator with VSD -:- Electricity,PJ,GW,DMD,-,ADCF-IRG-IrgVSD-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-IRG-IrgVSD-ELC,Agriculture -:- Dairy Cattle Farming -:- Irrigator with VSD -:- Electricity,PJ,GW,DMD,-,ADCF-IRG-IrgVSD-ELC_DEMO,ANNUAL,0.0
BASE,NI,IND,.PRE.,FTE-INDLPG_00,Industry -:-  -:-  -:- LPG,PJ,PJA,PRE,-,INDLPG,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-LIG--ELC,Agriculture -:- Dairy Cattle Farming -:- Lights (General) -:- Electricity,PJ,GW,DMD,-,ADCF-LIG--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-LIG--ELC,Agriculture -:- Dairy Cattle Farming -:- Lights (General) -:- Electricity,PJ,GW,DMD,-,ADCF-LIG--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Bike--ELC,Agriculture -:- Dairy Cattle Farming -:- Farm Bike -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Bike--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Bike--ELC,Agriculture -:- Dairy Cattle Farming -:- Farm Bike -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Bike--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Bike--PET,Agriculture -:- Dairy Cattle Farming -:- Farm Bike -:- Petrol,PJ,GW,DMD,-,ADCF-MoTP-Mob-Bike--PET_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Bike--PET,Agriculture -:- Dairy Cattle Farming -:- Farm Bike -:- Petrol,PJ,GW,DMD,-,ADCF-MoTP-Mob-Bike--PET_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--DSL,Agriculture -:- Dairy Cattle Farming -:- Truck (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--DSL,Agriculture -:- Dairy Cattle Farming -:- Truck (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--ELC,Agriculture -:- Dairy Cattle Farming -:- Truck (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--ELC,Agriculture -:- Dairy Cattle Farming -:- Truck (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--H2R,Agriculture -:- Dairy Cattle Farming -:- Truck (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--H2R_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-MTr--H2R,Agriculture -:- Dairy Cattle Farming -:- Truck (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-MTr--H2R_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--DSL,Agriculture -:- Dairy Cattle Farming -:- Tractor (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--DSL,Agriculture -:- Dairy Cattle Farming -:- Tractor (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--ELC,Agriculture -:- Dairy Cattle Farming -:- Tractor (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--ELC,Agriculture -:- Dairy Cattle Farming -:- Tractor (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--H2R,Agriculture -:- Dairy Cattle Farming -:- Tractor (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--H2R_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Trac--H2R,Agriculture -:- Dairy Cattle Farming -:- Tractor (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-Trac--H2R_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--DSL,Agriculture -:- Dairy Cattle Farming -:- Utility Vehicle (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--DSL,Agriculture -:- Dairy Cattle Farming -:- Utility Vehicle (Agricultural) -:- Diesel,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--DSL_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--ELC,Agriculture -:- Dairy Cattle Farming -:- Utility Vehicle (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--ELC,Agriculture -:- Dairy Cattle Farming -:- Utility Vehicle (Agricultural) -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--H2R,Agriculture -:- Dairy Cattle Farming -:- Utility Vehicle (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--H2R_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Uti--H2R,Agriculture -:- Dairy Cattle Farming -:- Utility Vehicle (Agricultural) -:- Green Hydrogen,PJ,GW,DMD,-,ADCF-MoTP-Mob-Uti--H2R_DEMO,ANNUAL,0.0
