Scenario,Region,Sector,Set,Name,Description,Unit,Type,Sub type,Lim type,Time slice level,Peak time slice
BASE,NI,ELC,.NRG.,AGRELC,Agricultural ELC From Dist. Grid,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.ENV.,BATNRG,Electricity -:- Electricity Storage -:- Electricity -:- Electricity Production,PJ,ENV,,N,DAYNITE,
BASE,NI,ELC,.NRG.,COMELC,Service ELC From Dist. Grid,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,ELC,Electricity -:-  -:-  -:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,ELC-HV,High voltage ELC From Dist. Grid,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,ELC-MV,Mid voltage ELC From Dist. Grid,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,ELC,.NRG.,ELCBIG,Electricity -:- Thermal -:- Biogas -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCBIL,Electricity -:- Thermal -:- Liquid Biofuels -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.ENV.,ELCCO2,Electricity -:-  -:-  -:- Electricity Production,kt,ENV,,,ANNUAL,
BASE,NI,ELC,.NRG.,ELCCOA,Electricity -:- Thermal -:- Coal -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCCOL,Electricity -:- Thermal -:- Coal -:- Electricity Production,PJ,NRG,,FX,,
BASE,NI,ELC,.NRG.,ELCD,Low voltage input ELC for demand sectors,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,IND,.DEM.,CHMCL-PH-REFRM,"Industry -:- Petroleum, Basic Chemical and Rubber Product Manufacturing -:-  -:- Process Heat Reforming",PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,CHMCL-PH-STM_HW,"Industry -:- Petroleum, Basic Chemical and Rubber Product Manufacturing -:-  -:- Process Heat Steam/Hot Water",PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,CNST-MoTP-Mob,"Industry -:- Construction -:-  -:- Motive Power, Mobile",PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,CNST-MoTP-Stat,"Industry -:- Construction -:-  -:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,DARY-AIR,Industry -:- Dairy Product Manufacturing -:-  -:- Compressed Air,PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,DARY-MoTP-Stat,"Industry -:- Dairy Product Manufacturing -:-  -:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,DARY-PH-MVR_DRY,Industry -:- Dairy Product Manufacturing -:-  -:- Process Heat Evaporation/Drying,PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,IIS-MoTP-Stat,"Industry -:- Iron/Steel -:-  -:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,IIS-PH-FURN,Industry -:- Iron/Steel -:-  -:- Process Heat Furnace,PJ,DEM,,,DAYNITE,
BASE,NI,IND,.NRG.,INDBIG,Industry -:-  -:- Biogas -:-,PJ,NRG,,FX,,
BASE,NI,IND,.ENV.,INDCO2,Industry -:-  -:-  -:-,kt,ENV,,,,
BASE,NI,IND,.NRG.,INDCOA,Industry -:-  -:- Coal -:-,PJ,NRG,,FX,,
BASE,NI,IND,.NRG.,INDDSL,Industry -:-  -:- Diesel -:-,PJ,NRG,,FX,,
BASE,NI,IND,.NRG.,INDFOL,Industry -:-  -:- Fuel Oil -:-,PJ,NRG,,FX,,
BASE,NI,IND,.NRG.,INDGEO,Industry -:-  -:- Geothermal -:-,PJ,NRG,,FX,,
BASE,NI,IND,.NRG.,INDPET,Industry -:-  -:- Petrol -:-,PJ,NRG,,FX,,
BASE,NI,IND,.NRG.,INDWOD,Industry -:-  -:- Wood -:-,PJ,NRG,,FX,,
BASE,NI,IND,.DEM.,MEAT-MoTP-Stat,"Industry -:- Meat Processing -:-  -:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,MEAT-PH-DirH,Industry -:- Meat Processing -:-  -:- Process Heat Direct,PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,MEAT-PH-STM_HW,Industry -:- Meat Processing -:-  -:- Process Heat Steam/Hot Water,PJ,DEM,,,DAYNITE,
BASE,NI,IND,.DEM.,MEAT-RFGR,Industry -:- Meat Processing -:-  -:- Refrigeration,PJ,DEM,,,DAYNITE,
