Scenario,Region,Sector,Set,Name,Description,Activity unit,Capacity unit,Type,Sub type,Primary commodity group,Time slice level,Vintage
BASE,NI,TRADES,IRE,TU_COL_NI_SI_01,IRE(U) - COL from ni to si,PJ,-,IRE,-,NRG,ANNUAL,
BASE,NI,TRADES,IRE,TU_DID_NI_SI_01,IRE(U) - DID from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_DIJ_NI_SI_01,IRE(U) - DIJ from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_DSL_NI_SI_01,IRE(U) - DSL from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_FOL_NI_SI_01,IRE(U) - FOL from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_JET_NI_SI_01,IRE(U) - JET from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_LPG_NI_SI_01,IRE(U) - LPG from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_OTH_NI_SI_01,IRE(U) - OTH from ni to si,PJ,-,IRE,-,NRG,,
BASE,NI,TRADES,IRE,TU_PET_NI_SI_01,IRE(U) - PET from ni to si,PJ,-,IRE,-,NRG,,
BASE,SI,TRADES,IRE,TU_COA_SI_NI_01,IRE(U) - COA from si to ni,PJ,-,IRE,-,NRG,ANNUAL,
BASE,SI,TRADES,IRE,TU_COL_SI_NI_01,IRE(U) - COL from si to ni,PJ,-,IRE,-,NRG,ANNUAL,
BASE,NI,TRADES,IRE,TU_COA_SI_NI_01,IRE(U) - COA from si to ni,PJ,-,IRE,-,NRG,ANNUAL,
BASE,NI,TRADES,IRE,TU_COL_SI_NI_01,IRE(U) - COL from si to ni,PJ,-,IRE,-,NRG,ANNUAL,
BASE,SI,TRADES,IRE,TB_ELC_NI_SI_01,IRE(B) - ELC from ni to si,PJ,-,IRE,-,NRG,DAYNITE,
BASE,SI,TRADES,IRE,TU_COA_NI_SI_01,IRE(U) - COA from ni to si,PJ,-,IRE,-,NRG,ANNUAL,
BASE,SI,TRADES,IRE,TU_COL_NI_SI_01,IRE(U) - COL from ni to si,PJ,-,IRE,-,NRG,ANNUAL,
