Scenario,Sector,Subsector,Technology,Enduse,Unit,Parameters,Fuel,Period,FuelGroup,Technology_Group,Value
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2018,Fossil Fuels,Mobile Motive Power,0.9083557753
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2020,Fossil Fuels,Mobile Motive Power,17.9428067309
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2025,Fossil Fuels,Mobile Motive Power,85.087531992
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2020,Electricity,Mobile Motive Power,238.1915268029
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2025,Electricity,Mobile Motive Power,426.0531280274
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2030,Electricity,Mobile Motive Power,610.0250904244
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2035,Electricity,Mobile Motive Power,759.5126038058
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2040,Electricity,Mobile Motive Power,876.3860483251
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2045,Electricity,Mobile Motive Power,953.7306165882
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2050,Electricity,Mobile Motive Power,21.1375548042
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2055,Electricity,Mobile Motive Power,110.3608456498
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2060,Electricity,Mobile Motive Power,331.0198579741
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2018,Fossil Fuels,Mobile Motive Power,553.6549045168
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2020,Fossil Fuels,Mobile Motive Power,807.8389213543
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2025,Fossil Fuels,Mobile Motive Power,1061.1396248088
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2020,Electricity,Mobile Motive Power,1219.5837355346
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2025,Electricity,Mobile Motive Power,0.78132
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2030,Electricity,Mobile Motive Power,0.7234444444
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2035,Electricity,Mobile Motive Power,0.5787555556
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2040,Electricity,Mobile Motive Power,0.4340666667
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2045,Electricity,Mobile Motive Power,0.2893777778
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2050,Electricity,Mobile Motive Power,0.1446888889
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2055,Electricity,Mobile Motive Power,0.78132
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2060,Electricity,Mobile Motive Power,0.7234444444
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2018,Fossil Fuels,Mobile Motive Power,0.5787555556
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2020,Fossil Fuels,Mobile Motive Power,0.4340666667
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2025,Fossil Fuels,Mobile Motive Power,0.2893777778
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2018,Electricity,Heating/Cooling,0.1446888889
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2020,Electricity,Heating/Cooling,20.1316238566
