scen,Sector,Subsector,Technology,Enduse,Unit,Parameters,Fuel,Period,FuelGroup,Technology_Group,Value
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2018,Fossil Fuels,Mobile Motive Power,0.0446086000
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2025,Fossil Fuels,Mobile Motive Power,0.0135950326
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2030,Fossil Fuels,Mobile Motive Power,0.0000000000
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2035,Fossil Fuels,Mobile Motive Power,0.0000000000
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2040,Fossil Fuels,Mobile Motive Power,0.0000000000
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2045,Fossil Fuels,Mobile Motive Power,0.0000000000
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2050,Fossil Fuels,Mobile Motive Power,0.0000000000
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2055,Fossil Fuels,Mobile Motive Power,0.0000000000
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2060,Fossil Fuels,Mobile Motive Power,0.0000000000
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2018,Electricity,Mobile Motive Power,0.0000000000
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2025,Electricity,Mobile Motive Power,0.0422370994
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2030,Electricity,Mobile Motive Power,0.0591515370
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2035,Electricity,Mobile Motive Power,0.0556513885
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2040,Electricity,Mobile Motive Power,0.0521786563
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2045,Electricity,Mobile Motive Power,0.0489226280
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2050,Electricity,Mobile Motive Power,0.0458697808
