scen,Sector,Subsector,Technology,Enduse,Unit,Parameters,Fuel,Period,FuelGroup,Technology_Group,Value
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2018,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2025,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2030,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2035,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2040,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2045,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2050,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2055,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2060,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2018,Fossil Fuels,Mobile Motive Power,0.0446086
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2025,Fossil Fuels,Mobile Motive Power,0.013595032632066
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2030,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2035,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2040,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2045,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2050,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2055,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,Mt CO<sub>2</sub>/yr,Emissions,Petrol,2060,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2018,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2025,Electricity,Mobile Motive Power,0.0422370994173602
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2030,Electricity,Mobile Motive Power,0.0591515369507936
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2035,Electricity,Mobile Motive Power,0.0556513884742518
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2040,Electricity,Mobile Motive Power,0.052178656314146796
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2045,Electricity,Mobile Motive Power,0.0489226279773688
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2050,Electricity,Mobile Motive Power,0.0458697808123342
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2055,Electricity,Mobile Motive Power,0.0430074360016983
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Electricity,2060,Electricity,Mobile Motive Power,0.0403237059058022
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2018,Fossil Fuels,Mobile Motive Power,0.067
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2025,Fossil Fuels,Mobile Motive Power,0.02041909377
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2030,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2035,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2040,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2045,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2050,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2055,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,End Use Demand,Petrol,2060,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2018,Electricity,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2025,Electricity,Mobile Motive Power,0.1206774269067435
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2030,Electricity,Mobile Motive Power,0.16900439128798167
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2035,Electricity,Mobile Motive Power,0.15900396706929085
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2040,Electricity,Mobile Motive Power,0.14908187518327667
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2045,Electricity,Mobile Motive Power,0.1397789370781966
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2050,Electricity,Mobile Motive Power,0.13105651660666917
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2055,Electricity,Mobile Motive Power,0.12287838857628096
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Electricity,2060,Electricity,Mobile Motive Power,0.11521058830229196
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2018,Fossil Fuels,Mobile Motive Power,0.67
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2025,Fossil Fuels,Mobile Motive Power,0.20419093770000002
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2030,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2035,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2040,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2045,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2050,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2055,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Farm Bike,Off-road Motorbike Use,PJ,Fuel Consumption,Petrol,2060,Fossil Fuels,Mobile Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2018,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2025,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2030,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2035,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2040,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2045,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2050,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2055,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2060,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2018,Electricity,Heating/Cooling,1.8300873359999952
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2025,Electricity,Heating/Cooling,0.9760465792000019
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2030,Electricity,Heating/Cooling,0.3660174672
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2035,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2040,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2045,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2050,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2055,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,End Use Demand,Electricity,2060,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,Fuel Consumption,Electricity,2018,Electricity,Heating/Cooling,0.5228820959999987
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,Fuel Consumption,Electricity,2025,Electricity,Heating/Cooling,0.27887045120000054
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,Fuel Consumption,Electricity,2030,Electricity,Heating/Cooling,0.10457641920000016
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,Fuel Consumption,Electricity,2035,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,Fuel Consumption,Electricity,2040,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,Fuel Consumption,Electricity,2045,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,Fuel Consumption,Electricity,2050,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,Fuel Consumption,Electricity,2055,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Refrigeration,PJ,Fuel Consumption,Electricity,2060,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2018,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2025,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2030,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2035,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2040,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2045,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2050,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2055,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2060,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,End Use Demand,Electricity,2018,Electricity,Heating/Cooling,1.49586351131001
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,End Use Demand,Electricity,2025,Electricity,Heating/Cooling,1.97926251913393
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,End Use Demand,Electricity,2030,Electricity,Heating/Cooling,1.9162177555715592
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,End Use Demand,Electricity,2035,Electricity,Heating/Cooling,1.8488184287236598
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,End Use Demand,Electricity,2040,Electricity,Heating/Cooling,1.777667690490146
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,End Use Demand,Electricity,2045,Electricity,Heating/Cooling,1.7092551484323848
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,End Use Demand,Electricity,2050,Electricity,Heating/Cooling,1.6434754246093402
