Attribute,Process,Commodity,Sector,Subsector,Technology,Fuel,Enduse,Unit,Parameters,FuelGroup
VAR_Cap,T_P_BusBEVELC,-,Transport,Road Transport,Battery Electric Vehicle,Electricity,Bus,000 Vehicles,Number of Vehicles,Electricity
VAR_Cap,T_P_BBEVELC15,-,Transport,Road Transport,Battery Electric Vehicle,Electricity,Bus,000 Vehicles,Number of Vehicles,Electricity
VAR_FIn,T_P_BBEVELC15,TRAELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Bus,PJ,Fuel Consumption,Electricity
VAR_FIn,T_P_BusBEVELC,TRAELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Bus,PJ,Fuel Consumption,Electricity
VAR_FOut,T_P_BBEVELC15,T_P_Bus,Transport,Road Transport,Battery Electric Vehicle,Electricity,Bus,Billion Vehicle Kilometres,Distance Travelled,Electricity
VAR_FOut,T_P_BusBEVELC,T_P_Bus,Transport,Road Transport,Battery Electric Vehicle,Electricity,Bus,Billion Vehicle Kilometres,Distance Travelled,Electricity
VAR_Cap,T_P_CBEVNEW15,-,Transport,Road Transport,Battery Electric Vehicle,Electricity,Car/SUV,000 Vehicles,Number of Vehicles,Electricity
VAR_Cap,T_P_CBEVELC,-,Transport,Road Transport,Battery Electric Vehicle,Electricity,Car/SUV,000 Vehicles,Number of Vehicles,Electricity
VAR_FIn,T_P_CBEVELC,TRAELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Car/SUV,PJ,Fuel Consumption,Electricity
VAR_FIn,T_P_CBEVNEW15,TRAELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Car/SUV,PJ,Fuel Consumption,Electricity
VAR_FOut,T_P_CBEVELC,T_P_Car,Transport,Road Transport,Battery Electric Vehicle,Electricity,Car/SUV,Billion Vehicle Kilometres,Distance Travelled,Electricity
VAR_FOut,T_P_CBEVNEW15,T_P_Car,Transport,Road Transport,Battery Electric Vehicle,Electricity,Car/SUV,Billion Vehicle Kilometres,Distance Travelled,Electricity
VAR_Cap,T_F_HTrBEVELC,-,Transport,Road Transport,Battery Electric Vehicle,Electricity,Heavy Truck,000 Vehicles,Number of Vehicles,Electricity
VAR_FIn,T_F_HTrBEVELC,TRAELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Heavy Truck,PJ,Fuel Consumption,Electricity
VAR_FOut,T_F_HTrBEVELC,T_F_HTrk,Transport,Road Transport,Battery Electric Vehicle,Electricity,Heavy Truck,Billion Vehicle Kilometres,Distance Travelled,Electricity
VAR_Cap,T_F_MTrBEVELC,-,Transport,Road Transport,Battery Electric Vehicle,Electricity,Medium Truck,000 Vehicles,Number of Vehicles,Electricity
VAR_Cap,T_F_MBEVELC15,-,Transport,Road Transport,Battery Electric Vehicle,Electricity,Medium Truck,000 Vehicles,Number of Vehicles,Electricity
VAR_FIn,T_F_MBEVELC15,TRAELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Medium Truck,PJ,Fuel Consumption,Electricity
VAR_FIn,T_F_MTrBEVELC,TRAELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Medium Truck,PJ,Fuel Consumption,Electricity
VAR_FOut,T_F_MBEVELC15,T_F_MTrk,Transport,Road Transport,Battery Electric Vehicle,Electricity,Medium Truck,Billion Vehicle Kilometres,Distance Travelled,Electricity
VAR_FOut,T_F_MTrBEVELC,T_F_MTrk,Transport,Road Transport,Battery Electric Vehicle,Electricity,Medium Truck,Billion Vehicle Kilometres,Distance Travelled,Electricity
VAR_Cap,T_P_McyBEVELC,-,Transport,Road Transport,Battery Electric Vehicle,Electricity,Motorcycles,000 Vehicles,Number of Vehicles,Electricity
VAR_FIn,T_P_McyBEVELC,TRAELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Motorcycles,PJ,Fuel Consumption,Electricity
VAR_FOut,T_P_McyBEVELC,T_P_Mcy,Transport,Road Transport,Battery Electric Vehicle,Electricity,Motorcycles,Billion Vehicle Kilometres,Distance Travelled,Electricity
VAR_Cap,T_C_CBEVNEW15,-,Transport,Road Transport,Battery Electric Vehicle,Electricity,Van/Ute,000 Vehicles,Number of Vehicles,Electricity
VAR_Cap,T_C_CBEVELC,-,Transport,Road Transport,Battery Electric Vehicle,Electricity,Van/Ute,000 Vehicles,Number of Vehicles,Electricity
VAR_FIn,T_C_CBEVELC,TRAELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Van/Ute,PJ,Fuel Consumption,Electricity
VAR_FIn,T_C_CBEVNEW15,TRAELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Van/Ute,PJ,Fuel Consumption,Electricity
VAR_FOut,T_C_CBEVELC,T_C_Car,Transport,Road Transport,Battery Electric Vehicle,Electricity,Van/Ute,Billion Vehicle Kilometres,Distance Travelled,Electricity
VAR_FOut,T_C_CBEVNEW15,T_C_Car,Transport,Road Transport,Battery Electric Vehicle,Electricity,Van/Ute,Billion Vehicle Kilometres,Distance Travelled,Electricity
VAR_Cap,DARY-PH-TVR_EVP-WOD-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,GW,Technology Capacity,Renewables (direct use)
VAR_Cap,DARY-PH-TVR_EVP-NGA-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-TVR_EVP-NGA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-TVR_EVP-COA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-TVR_DRY-WOD-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,GW,Technology Capacity,Renewables (direct use)
VAR_Cap,DARY-PH-TVR_DRY-NGA-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-TVR_DRY-NGA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-TVR_DRY-COA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-MVR_TVR-WOD-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,GW,Technology Capacity,Renewables (direct use)
